Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User-CBU-Flow,Chrome 145.0.7632.160,Untuk Regresi Sprint 1,,11-03-2026 11:11:57,11-03-2026 11:18:07,6m - 9.888s,INCOMPLETE
,,,,,,,
Test Cases/Sprint-1/SPV-PIC-CBU/SPV-CBU-Create-Task,Chrome 145.0.7632.160,SPV CBU membuat Task untuk di Assign ke Staff,,11-03-2026 11:11:58,11-03-2026 11:12:44,46.184s,PASSED
"callTestCase(findTestCase(""Sprint-1/Login-CBU/Login-SPV-CBU""), [:], STOP_ON_FAILURE)",Chrome 145.0.7632.160,,,11-03-2026 11:11:58,11-03-2026 11:12:12,13.787s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Sprint1/SPV-Create-Task/Page_ApplicationsCatalog/div_Risk Control Unit ApplicationRCU Apps c_31ac98""), 10)",Chrome 145.0.7632.160,,,11-03-2026 11:12:12,11-03-2026 11:12:16,4.068s,PASSED
"click(findTestObject(""Object Repository/Sprint1/SPV-Create-Task/Page_ApplicationsCatalog/div_Risk Control Unit ApplicationRCU Apps c_31ac98""))",Chrome 145.0.7632.160,,,11-03-2026 11:12:16,11-03-2026 11:12:17,0.515s,PASSED
"click(findTestObject(""Object Repository/Sprint1/SPV-Create-Task/Page_Dashboard/div_Monitoring  Review""))",Chrome 145.0.7632.160,,,11-03-2026 11:12:17,11-03-2026 11:12:21,4.147s,PASSED
"click(findTestObject(""Object Repository/Sprint1/SPV-Create-Task/Page_Dashboard/div_Operasional Cabang""))",Chrome 145.0.7632.160,,,11-03-2026 11:12:21,11-03-2026 11:12:22,0.857s,PASSED
"click(findTestObject(""Object Repository/Sprint1/SPV-Create-Task/Page_Dashboard/a_Petty Cash""))",Chrome 145.0.7632.160,,,11-03-2026 11:12:22,11-03-2026 11:12:23,1.168s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Sprint1/SPV-Create-Task/Page_PettyCash/span_PEMERIKSAAN PETTY CASH KANTOR CABANG""), 10)",Chrome 145.0.7632.160,,,11-03-2026 11:12:23,11-03-2026 11:12:26,3.422s,PASSED
"click(findTestObject(""Object Repository/Sprint1/SPV-Create-Task/Page_PettyCash/button_Tambah""))",Chrome 145.0.7632.160,,,11-03-2026 11:12:26,11-03-2026 11:12:27,0.568s,PASSED
"setText(findTestObject(""Object Repository/Sprint1/SPV-Create-Task/Page_PettyCash/input_Tanggal Claim_b3-b1-b4-StartDate""), ""24-02-2022"")",Chrome 145.0.7632.160,,,11-03-2026 11:12:27,11-03-2026 11:12:28,1.385s,PASSED
"setText(findTestObject(""Object Repository/Sprint1/SPV-Create-Task/Page_PettyCash/input_Tanggal Claim_b3-b1-b4-EndDate""), ""26-02-2022"")",Chrome 145.0.7632.160,,,11-03-2026 11:12:28,11-03-2026 11:12:29,0.965s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Sprint1/SPV-Create-Task/Page_PettyCash/select_Pilih OpsiSEMARANGSURABAYAJAKARTA GR_05f5b9""), ""0"", true)",Chrome 145.0.7632.160,,,11-03-2026 11:12:29,11-03-2026 11:12:31,1.399s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Sprint1/SPV-Create-Task/Page_PettyCash/select_Pilih OpsiIQBAL PUTRA TAWAKALGIANDI _5675aa""), ""0"", true)",Chrome 145.0.7632.160,,,11-03-2026 11:12:31,11-03-2026 11:12:32,1.107s,PASSED
"click(findTestObject(""Object Repository/Sprint1/SPV-Create-Task/Page_PettyCash/button_Tambah_1""))",Chrome 145.0.7632.160,,,11-03-2026 11:12:32,11-03-2026 11:12:32,0.558s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Sprint1/SPV-Create-Task/Page_PettyCash/select_Pilih OpsiSEMARANGSURABAYAJAKARTA GR_05f5b9_1""), ""0"", true)",Chrome 145.0.7632.160,,,11-03-2026 11:12:32,11-03-2026 11:12:38,6.012s,PASSED
"click(findTestObject(""Object Repository/Sprint1/SPV-Create-Task/Page_PettyCash/button_Cari""))",Chrome 145.0.7632.160,,,11-03-2026 11:12:38,11-03-2026 11:12:39,0.512s,PASSED
delay(5),Chrome 145.0.7632.160,,,11-03-2026 11:12:39,11-03-2026 11:12:44,5.062s,PASSED
,,,,,,,
Test Cases/Sprint-1/SPV-PIC-CBU/SPV-CBU-Assign-Staff,Chrome 145.0.7632.160,SPV CBU Assign ke Staff,,11-03-2026 11:12:44,11-03-2026 11:13:26,41.523s,PASSED
"callTestCase(findTestCase(""Sprint-1/Login-CBU/Login-SPV-CBU""), [:], STOP_ON_FAILURE)",Chrome 145.0.7632.160,,,11-03-2026 11:12:44,11-03-2026 11:12:59,14.473s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Sprint1/SPV-Create-Task/Page_ApplicationsCatalog/div_Risk Control Unit ApplicationRCU Apps c_31ac98""), 10)",Chrome 145.0.7632.160,,,11-03-2026 11:12:59,11-03-2026 11:13:03,4.031s,PASSED
"click(findTestObject(""Object Repository/Sprint1/SPV-Create-Task/Page_ApplicationsCatalog/div_Risk Control Unit ApplicationRCU Apps c_31ac98""))",Chrome 145.0.7632.160,,,11-03-2026 11:13:03,11-03-2026 11:13:04,0.823s,PASSED
"click(findTestObject(""Object Repository/Sprint1/SPV-Assign-Staff/Page_Dashboard/div_Monitoring  Review""))",Chrome 145.0.7632.160,,,11-03-2026 11:13:04,11-03-2026 11:13:07,3.503s,PASSED
"click(findTestObject(""Object Repository/Sprint1/SPV-Assign-Staff/Page_Dashboard/div_Operasional Cabang""))",Chrome 145.0.7632.160,,,11-03-2026 11:13:07,11-03-2026 11:13:08,0.779s,PASSED
"click(findTestObject(""Object Repository/Sprint1/SPV-Assign-Staff/Page_Dashboard/a_Petty Cash""))",Chrome 145.0.7632.160,,,11-03-2026 11:13:08,11-03-2026 11:13:09,1.186s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Sprint1/SPV-Assign-Staff/Page_PettyCash/span_PEMERIKSAAN PETTY CASH KANTOR CABANG""), 10)",Chrome 145.0.7632.160,,,11-03-2026 11:13:09,11-03-2026 11:13:12,2.879s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Sprint1/SPV-Assign-Staff/Page_PettyCash/select_Pilih OpsiSEMARANGSURABAYAJAKARTA GR_05f5b9_1""), ""0"", true)",Chrome 145.0.7632.160,,,11-03-2026 11:13:12,11-03-2026 11:13:14,2.374s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Sprint1/SPV-Assign-Staff/Page_PettyCash/select_Pilih OpsiBaruPenugasanDalam ProsesM_e7f10e""), ""0"", true)",Chrome 145.0.7632.160,,,11-03-2026 11:13:14,11-03-2026 11:13:15,1.085s,PASSED
"click(findTestObject(""Object Repository/Sprint1/SPV-Assign-Staff/Page_PettyCash/button_Cari""))",Chrome 145.0.7632.160,,,11-03-2026 11:13:15,11-03-2026 11:13:16,0.524s,PASSED
"click(findTestObject(""Object Repository/Sprint1/SPV-Assign-Staff/Page_PettyCash/input_Action_b3-b1-l1_0-152_0-Check""))",Chrome 145.0.7632.160,,,11-03-2026 11:13:16,11-03-2026 11:13:17,0.675s,PASSED
"click(findTestObject(""Object Repository/Sprint1/SPV-Assign-Staff/Page_PettyCash/button_Assign""))",Chrome 145.0.7632.160,,,11-03-2026 11:13:17,11-03-2026 11:13:17,0.570s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Sprint1/SPV-Assign-Staff/Page_PettyCash/div_Apakah anda yakin ingin melakukan penug_f3cfac""), 10)",Chrome 145.0.7632.160,,,11-03-2026 11:13:17,11-03-2026 11:13:18,0.538s,PASSED
"click(findTestObject(""Object Repository/Sprint1/SPV-Assign-Staff/Page_PettyCash/button_Assign_1""))",Chrome 145.0.7632.160,,,11-03-2026 11:13:18,11-03-2026 11:13:18,0.589s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Sprint1/SPV-Assign-Staff/Page_PettyCash/div_Penugasan berhasil di-Assign_1""), 10)",Chrome 145.0.7632.160,,,11-03-2026 11:13:18,11-03-2026 11:13:21,2.245s,PASSED
delay(5),Chrome 145.0.7632.160,,,11-03-2026 11:13:21,11-03-2026 11:13:26,5.027s,PASSED
,,,,,,,
Test Cases/Sprint-1/SPV-PIC-CBU/Staff-CBU-Assign-And-Draft,Chrome 145.0.7632.160,Staff CBU Draft,,11-03-2026 11:13:26,11-03-2026 11:15:03,1m - 36.982s,PASSED
"DATA BINDING - {""(Default) File3..."":""C:\\Users\\Lenovo T490\\Downloads\\Tester File\\3mb.pdf"",""(Default) Lorem..."":""C:\\Users\\Lenovo T490\\Downloads\\Tester File\\loremipsum2.pdf""}",,,,,,,
"callTestCase(findTestCase(""Sprint-1/Login-CBU/Login-Staff-CBU""), [:], STOP_ON_FAILURE)",Chrome 145.0.7632.160,,,11-03-2026 11:13:26,11-03-2026 11:13:40,14.302s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_ApplicationsCatalog/div_Risk Control Unit ApplicationRCU Apps c_31ac98""), 10)",Chrome 145.0.7632.160,,,11-03-2026 11:13:40,11-03-2026 11:13:46,5.903s,PASSED
